year,mileage_km,fuel_type,price_pln,brand,model,power,gearbox,drive,fuel_consumption_outside_city,fuel_consumption_in_city,body_type,color,country_of_origin,accident_free,condition
2024,1.0,Benzyna,168900.0,Audi,A4,150.0,Automatyczna,Front,4.0,7.0,Kombi,Biały,Polska,Tak,Nowe
2023,3400.0,Diesel,249997.0,Audi,A6,204.0,Automatyczna,4X4,4.0,5.0,Kombi,Srebrny,Polska,Tak,Używane
2019,52000.0,Benzyna,9749999.0,Audi,A3,150.0,Automatyczna,4X4,4.947841306884481,6.0,Sedan,Biały,Polska,Nie,Używane
2019,84150.0,Benzyna,119500.0,Audi,A4,245.0,Automatyczna,4X4,4.947841306884481,7.0,Sedan,Czarny,Polska,Nie,Używane
2010,345000.0,Diesel,31000.0,Audi,A4,143.0,Automatyczna,Front,5.0,7.0,Kombi,Czarny,Polska,Nie,Używane
2011,341586.0,Diesel,45000.0,Audi,A6,204.0,Automatyczna,Front,4.0,5.0,Kombi,Brązowy,Polska,Nie,Używane
2021,119530.0,Diesel,180000.0,Audi,A6,204.0,Automatyczna,4X4,4.947841306884481,7.473995451099318,Sedan,Szary,Polska,Tak,Używane
2020,95000.0,Diesel,154900.0,Audi,A6,204.0,Automatyczna,4X4,4.947841306884481,7.473995451099318,Kombi,Granatowy,Niemcy,Tak,Używane
2005,236000.0,Benzyna,29900.0,Audi,A6,255.0,Automatyczna,4X4,8.0,15.0,Kombi,Niebieski,Szwajcaria,Tak,Używane
2014,170110.0,Benzyna,65890.0,Audi,A4,224.0,Automatyczna,4X4,5.0,8.0,Kombi,Czarny,Polska,Tak,Używane
2017,131000.0,Diesel,107900.0,Audi,A6,190.0,Automatyczna,Front,4.0,5.0,Kombi,Brązowy,Polska,Tak,Używane
2019,146000.0,Diesel,100900.0,Audi,A4,150.0,Automatyczna,Front,4.947841306884481,4.0,Sedan,Czarny,Polska,Tak,Używane
2017,95000.0,Benzyna,69000.0,Audi,A5,252.0,Automatyczna,4X4,5.6,8.0,Sedan,Inny kolor,Polska,Nie,Używane
2022,23587.0,Diesel,148000.0,Audi,A4,204.0,Automatyczna,4X4,4.0,5.0,Kombi,Biały,Niemcy,Nie,Używane
2021,50000.0,Diesel,269000.0,Audi,Q7,231.0,Automatyczna,4X4,5.0,8.0,SUV,Szary,Polska,Nie,Używane
2008,412000.0,Diesel,23900.0,Audi,A4,143.0,Manualna,Front,4.0,5.0,Kombi,Szary,Niemcy,Nie,Używane
2023,16000.0,Diesel,316985.0,Audi,A7,204.0,Automatyczna,4X4,4.0,5.0,Coupe,Biały,Polska,Tak,Używane
2018,171500.0,Diesel,69900.0,Audi,A4,150.0,Manualna,Front,3.6,4.7,Kombi,Srebrny,Belgia,Tak,Używane
2022,4135.0,Diesel,134000.0,Audi,A4,163.0,Automatyczna,Front,4.0,4.0,Kombi,Czarny,Polska,Nie,Używane
2019,154000.0,Diesel,178999.0,Audi,A6,231.0,Automatyczna,4X4,5.3,6.2,Kombi,Brązowy,Szwecja,Tak,Używane
2021,66000.0,Benzyna,193000.0,Audi,A6,340.0,Automatyczna,4X4,6.0,10.0,Sedan,Czarny,Stany Zjednoczone,Nie,Używane
2020,114000.0,Hybryda,153999.0,Audi,Q5,265.0,Automatyczna,4X4,5.0,7.0,SUV,Granatowy,Niemcy,Tak,Używane
2020,114000.0,Hybryda,153999.0,Audi,Q5,265.0,Automatyczna,4X4,5.0,7.0,SUV,Granatowy,Niemcy,Tak,Używane
2017,240000.0,Diesel,129900.0,Audi,A6,326.0,Automatyczna,4X4,5.0,7.0,Kombi,Inny kolor,Polska,Nie,Używane
2022,19000.0,Diesel,193900.0,Audi,Q5,204.0,Automatyczna,4X4,4.947841306884481,7.473995451099318,SUV,Biały,Polska,Nie,Używane
2024,1.0,Benzyna,146810.0,Audi,A3,150.0,Automatyczna,Front,4.947841306884481,6.0,Auta miejskie,Czarny,Polska,Tak,Nowe
2012,108450.0,Diesel,62900.0,Audi,A5,177.0,Manualna,Front,4.947841306884481,5.5,Coupe,Biały,Niemcy,Nie,Używane
2020,70246.0,Benzyna,209900.0,Audi,A6,245.0,Automatyczna,4X4,4.947841306884481,8.0,Sedan,Biały,Polska,Tak,Używane
2020,70000.0,Diesel,79000.0,Audi,A6,286.0,Automatyczna,4X4,4.947841306884481,7.0,Sedan,Czarny,Niemcy,Nie,Używane
2009,106000.0,Benzyna,49900.0,Audi,A5,179.0,Manualna,Front,4.947841306884481,8.4,Coupe,Szary,Polska,Nie,Używane
2015,193000.0,Diesel,149000.0,Audi,Q7,272.0,Automatyczna,4X4,5.0,6.0,SUV,Brązowy,Polska,Tak,Używane
2012,210000.0,Benzyna,59900.0,Audi,S5,333.0,Automatyczna,Front,4.947841306884481,7.473995451099318,Coupe,Biały,Polska,Nie,Używane
2008,220000.0,Diesel,23800.0,Audi,A4,180.0,Manualna,Front,5.0,9.0,Kombi,Czarny,Niemcy,Tak,Używane
2021,26763.0,Hybryda Plug-in,217850.0,Audi,A6,265.0,Automatyczna,4X4,4.947841306884481,7.473995451099318,Sedan,Szary,Polska,Tak,Używane
1999,267000.0,Benzyna,9600.0,Audi,TT,180.0,Manualna,Front,6.0,11.0,Coupe,Szary,Niemcy,Nie,Używane
2020,89000.0,Diesel,129900.0,Audi,A6,204.0,Automatyczna,Front,4.947841306884481,5.0,Kombi,Biały,Niemcy,Tak,Używane
2013,135000.0,Benzyna,220000.0,Audi,RS6,560.0,Automatyczna,Front,4.947841306884481,13.4,Kombi,Biały,Niemcy,Tak,Używane
2024,1.0,Diesel,502100.0,Audi,Q7,286.0,Automatyczna,4X4,6.0,7.0,SUV,Czarny,Polska,Tak,Nowe
2020,161900.0,Diesel,174000.0,Audi,A6 Allroad,286.0,Automatyczna,4X4,4.947841306884481,7.473995451099318,Kombi,Biały,Niemcy,Tak,Używane
